participant_id	original_participant_id	species	sex	strain
sub-CSHL045	sub-CSHL045	Mus musculus	M	C57BL/6
sub-CSHL047	sub-CSHL047	Mus musculus	M	C57BL/6
sub-CSHL049	sub-CSHL049	Mus musculus	M	C57BL/6
sub-CSHL051	sub-CSHL051	Mus musculus	F	C57BL/6
sub-CSHL052	sub-CSHL052	Mus musculus	F	C57BL/6
sub-CSHL053	sub-CSHL053	Mus musculus	F	C57BL/6
sub-CSHL054	sub-CSHL054	Mus musculus	F	C57BL/6
sub-CSHL055	sub-CSHL055	Mus musculus	F	C57BL/6
sub-CSHL058	sub-CSHL058	Mus musculus	M	C57BL/6
sub-CSHL059	sub-CSHL059	Mus musculus	M	C57BL/6
sub-CSHL060	sub-CSHL060	Mus musculus	M	C57BL/6
sub-CSH+ZAD+001	sub-CSH_ZAD_001	Mus musculus	F	C57BL/6
sub-CSH+ZAD+011	sub-CSH_ZAD_011	Mus musculus	F	C57BL/6
sub-CSH+ZAD+019	sub-CSH_ZAD_019	Mus musculus	F	C57BL/6
sub-CSH+ZAD+022	sub-CSH_ZAD_022	Mus musculus	M	C57BL/6
sub-CSH+ZAD+024	sub-CSH_ZAD_024	Mus musculus	M	C57BL/6
sub-CSH+ZAD+025	sub-CSH_ZAD_025	Mus musculus	M	C57BL/6
sub-CSH+ZAD+026	sub-CSH_ZAD_026	Mus musculus	M	C57BL/6
sub-CSH+ZAD+029	sub-CSH_ZAD_029	Mus musculus	M	C57BL/6
sub-DY+008	sub-DY_008	Mus musculus	M	C57BL/6
sub-DY+009	sub-DY_009	Mus musculus	M	C57BL/6
sub-DY+010	sub-DY_010	Mus musculus	M	C57BL/6
sub-DY+011	sub-DY_011	Mus musculus	M	C57BL/6
sub-DY+013	sub-DY_013	Mus musculus	M	C57BL/6
sub-DY+014	sub-DY_014	Mus musculus	M	C57BL/6
sub-DY+016	sub-DY_016	Mus musculus	M	C57BL/6
sub-DY+018	sub-DY_018	Mus musculus	M	C57BL/6
sub-DY+020	sub-DY_020	Mus musculus	M	C57BL/6
sub-KS014	sub-KS014	Mus musculus	M	C57BL/6
sub-KS016	sub-KS016	Mus musculus	M	C57BL/6
sub-KS022	sub-KS022	Mus musculus	M	C57BL/6
sub-KS023	sub-KS023	Mus musculus	F	C57BL/6
sub-KS042	sub-KS042	Mus musculus	M	C57BL/6
sub-KS043	sub-KS043	Mus musculus	M	C57BL/6
sub-KS044	sub-KS044	Mus musculus	M	C57BL/6
sub-KS045	sub-KS045	Mus musculus	M	C57BL/6
sub-KS046	sub-KS046	Mus musculus	M	C57BL/6
sub-KS051	sub-KS051	Mus musculus	M	C57BL/6
sub-KS052	sub-KS052	Mus musculus	M	C57BL/6
sub-KS055	sub-KS055	Mus musculus	M	C57BL/6
sub-KS084	sub-KS084	Mus musculus	M	C57BL/6
sub-KS086	sub-KS086	Mus musculus	M	C57BL/6
sub-KS091	sub-KS091	Mus musculus	M	C57BL/6
sub-KS094	sub-KS094	Mus musculus	M	C57BL/6
sub-KS096	sub-KS096	Mus musculus	M	C57BL/6
sub-MFD+05	sub-MFD_05	Mus musculus	M	C57BL/6
sub-MFD+06	sub-MFD_06	Mus musculus	M	C57BL/6
sub-MFD+07	sub-MFD_07	Mus musculus	M	C57BL/6
sub-MFD+08	sub-MFD_08	Mus musculus	M	C57BL/6
sub-MFD+09	sub-MFD_09	Mus musculus	M	C57BL/6
sub-NR+0017	sub-NR_0017	Mus musculus	M	C57BL/6
sub-NR+0019	sub-NR_0019	Mus musculus	M	C57BL/6
sub-NR+0020	sub-NR_0020	Mus musculus	M	C57BL/6
sub-NR+0021	sub-NR_0021	Mus musculus	M	C57BL/6
sub-NR+0024	sub-NR_0024	Mus musculus	F	C57BL/6
sub-NR+0027	sub-NR_0027	Mus musculus	M	C57BL/6
sub-NR+0028	sub-NR_0028	Mus musculus	F	C57BL/6
sub-NR+0029	sub-NR_0029	Mus musculus	F	C57BL/6
sub-NR+0031	sub-NR_0031	Mus musculus	F	C57BL/6
sub-NYU+11	sub-NYU-11	Mus musculus	F	C57BL/6
sub-NYU+12	sub-NYU-12	Mus musculus	F	C57BL/6
