onset	duration	nwb_table	choice	feedback_type	reward_volume	contrast_left	contrast_right	probability_left	feedback_time	response_time	stim_off_time	stim_on_time	go_cue_time	first_movement_time	peak_amplitude
11.347735690000318	0.1880000000000006	WheelMovementIntervals													0.10576427071332148
37.404735690000344	0.07000000000000028	WheelMovementIntervals													0.013019058930290137
41.58873569000035	0.2989999999999995	WheelMovementIntervals													0.2062968695624812
65.3954264700654	13.39039255891565	trials	-1.0	1.0	1.5		0.25	0.5	77.23570899007724	77.23561812197198	78.28577064007828	66.19214679006619	66.09325668006609	76.66073569000038	
76.66073569000038	4.912000000000006	WheelMovementIntervals													0.8154137616452481
79.4934165300795	5.165215254528263	trials	1.0	1.0	1.5	1.0		0.5	83.0960229000831	83.09592577452688	84.15858330008416	82.45871997008246	82.45961988008246	82.76773569000038	
82.76773569000038	4.085000000000008	WheelMovementIntervals													-0.35444513220880125
85.34273154008534	4.199483453307678	trials	1.0	1.0	1.5	1.0		0.5	87.97610151008797	87.97601991037189	89.04212823008905	87.53564556008753	87.53654547008753	87.75373569000038	
87.75373569000038	2.1340000000000003	WheelMovementIntervals													-0.6889800014073838
90.22450998009023	3.2778048853486865	trials	-1.0	1.0	1.5		1.0	0.5	91.94570451009194	91.94561149512184	93.002232180093	91.43555553009143	91.43645544009144	91.64373569000038	
90.3337356900004	0.4239999999999924	WheelMovementIntervals													0.35697557770530797
91.64373569000038	2.6970000000000027	WheelMovementIntervals													2.475761411386481
94.18921347009419	4.102715336475768	trials	-1.0	1.0	1.5		0.0625	0.5	96.72342669009673	96.72332170758335	97.7918531700978	95.00833155009501	95.009398110095	96.5607356900004	
96.5607356900004	0.36199999999999477	WheelMovementIntervals													0.4442658584094832
97.2027356900004	2.1509999999999962	WheelMovementIntervals													0.7391086007033767
99.03132921009903	2.920880916299211	trials	1.0	1.0	1.5	1.0		0.5	100.39672599010039	100.39661935506908	101.45212044010145	99.86881212009988	99.86994534009987	100.1867356900004	
100.1867356900004	1.3279999999999887	WheelMovementIntervals													-0.5954797011655417
102.0537356900004	1.1420000000000101	WheelMovementIntervals													0.493916829651476
102.62360328010263	4.634801635264736	trials	1.0	1.0	1.5	0.125		0.5	105.6910298401057	105.69090303872177	106.75832310010676	103.67493147010367	103.67589804010368	105.1327356900004	
104.5437356900004	0.1389999999999958	WheelMovementIntervals													0.03171986664025095
105.1327356900004	2.804000000000002	WheelMovementIntervals													-0.5589259854635404
